filename,relative_path,size_kb,mtime,likely_source_script,note
fig_auth_gap.pdf,figures/fig_auth_gap.pdf,27.88,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_gap.png,figures/fig_auth_gap.png,209.58,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_gap.svg,figures/fig_auth_gap.svg,71.36,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_matrix.pdf,figures/fig_auth_matrix.pdf,30.58,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_matrix.png,figures/fig_auth_matrix.png,203.91,2026-05-05T15:56:01,scripts/make_paper_figures.py,
fig_auth_matrix.svg,figures/fig_auth_matrix.svg,78.12,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_scores.pdf,figures/fig_auth_scores.pdf,20.18,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_scores.png,figures/fig_auth_scores.png,180.08,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_auth_scores.svg,figures/fig_auth_scores.svg,55.6,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_green_length_entropy_per_length.png,figures/fig_green_length_entropy_per_length.png,159.69,2026-05-05T15:51:10,scripts/make_paper_figures.py,
fig_green_length_intensity_histogram.png,figures/fig_green_length_intensity_histogram.png,313.99,2026-05-05T15:51:10,scripts/make_paper_figures.py,
fig_green_length_intra_inter_by_length.png,figures/fig_green_length_intra_inter_by_length.png,227.25,2026-05-05T15:56:48,scripts/make_paper_figures.py,
fig_green_length_speckle_montage.png,figures/fig_green_length_speckle_montage.png,19212.5,2026-05-05T15:51:10,scripts/make_paper_figures.py,
fig_ncc_hd.pdf,figures/fig_ncc_hd.pdf,23.41,2026-05-05T16:05:55,scripts/make_paper_figures.py,
fig_ncc_hd.png,figures/fig_ncc_hd.png,181.4,2026-05-05T16:05:55,scripts/make_paper_figures.py,
fig_ncc_hd.svg,figures/fig_ncc_hd.svg,105.41,2026-05-05T16:05:55,scripts/make_paper_figures.py,
fig_same_fiber_per_domain.pdf,figures/fig_same_fiber_per_domain.pdf,15.82,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_same_fiber_per_domain.png,figures/fig_same_fiber_per_domain.png,126.74,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_same_fiber_per_domain.svg,figures/fig_same_fiber_per_domain.svg,39.4,2026-05-05T15:56:02,scripts/make_paper_figures.py,
fig_speckle_examples.pdf,figures/fig_speckle_examples.pdf,4313.98,2026-05-05T15:56:08,scripts/make_paper_figures.py,
fig_speckle_examples.png,figures/fig_speckle_examples.png,4961.76,2026-05-05T15:56:08,scripts/make_paper_figures.py,
fig_speckle_examples.svg,figures/fig_speckle_examples.svg,6324.88,2026-05-05T15:56:09,scripts/make_paper_figures.py,
fig_test_accuracy_summary.pdf,figures/fig_test_accuracy_summary.pdf,19.02,2026-05-05T15:59:12,scripts/make_paper_figures.py,
fig_test_accuracy_summary.png,figures/fig_test_accuracy_summary.png,94.13,2026-05-05T15:59:12,scripts/make_paper_figures.py,
fig_test_accuracy_summary.svg,figures/fig_test_accuracy_summary.svg,32.96,2026-05-05T15:59:12,scripts/make_paper_figures.py,
fig_training_curves.pdf,figures/fig_training_curves.pdf,18.95,2026-05-05T15:59:12,scripts/make_paper_figures.py,
fig_training_curves.png,figures/fig_training_curves.png,274.83,2026-05-05T15:59:12,scripts/make_paper_figures.py,
fig_training_curves.svg,figures/fig_training_curves.svg,43.64,2026-05-05T15:59:12,scripts/make_paper_figures.py,
disturbance_sensitivity_analysis.pdf,figures/new_datasets_analysis/disturbance_sensitivity_analysis.pdf,34.81,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
disturbance_sensitivity_analysis.png,figures/new_datasets_analysis/disturbance_sensitivity_analysis.png,282.66,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
long_term_stability_analysis.pdf,figures/new_datasets_analysis/long_term_stability_analysis.pdf,26.19,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
long_term_stability_analysis.png,figures/new_datasets_analysis/long_term_stability_analysis.png,199.99,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
power_common_mode_analysis.pdf,figures/new_datasets_analysis/power_common_mode_analysis.pdf,24.58,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
power_common_mode_analysis.png,figures/new_datasets_analysis/power_common_mode_analysis.png,244.95,2026-05-05T15:51:02,scripts/analyze_new_datasets.py,extension dataset analysis
fig1_system.png,figures/patent/fig1_system.png,57.24,2026-04-27T16:29:01,scripts/analyze_new_datasets.py,
fig2_modes.png,figures/patent/fig2_modes.png,99.56,2026-04-27T16:29:01,scripts/analyze_new_datasets.py,
fig3_cmr.png,figures/patent/fig3_cmr.png,97.47,2026-04-27T16:29:01,scripts/analyze_new_datasets.py,
fig4_flowchart.png,figures/patent/fig4_flowchart.png,73.7,2026-04-27T16:29:01,scripts/analyze_new_datasets.py,
optical_path_clean.png,figures/patent/optical_path_clean.png,555.48,2026-04-27T20:31:22,scripts/analyze_new_datasets.py,
optical_path_render.png,figures/patent/optical_path_render.png,409.8,2026-04-27T20:31:22,scripts/analyze_new_datasets.py,
screenshot_camera_permission.png,figures/softcopyright/screenshot_camera_permission.png,44.19,2026-05-11T02:10:33,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_dialog_load_video.png,figures/softcopyright/screenshot_dialog_load_video.png,885.96,2026-05-11T02:10:38,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_slm_window.png,figures/softcopyright/screenshot_slm_window.png,442.85,2026-05-11T02:10:37,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_access_denied.png,figures/softcopyright/screenshot_step_access_denied.png,925.19,2026-05-11T02:10:37,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_access_granted.png,figures/softcopyright/screenshot_step_access_granted.png,943.97,2026-05-11T02:10:37,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_camera_on.png,figures/softcopyright/screenshot_step_camera_on.png,875.27,2026-05-11T02:10:36,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_home.png,figures/softcopyright/screenshot_step_home.png,220.26,2026-05-11T02:10:33,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_model_loaded.png,figures/softcopyright/screenshot_step_model_loaded.png,855.94,2026-05-11T02:10:36,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_reading_puf.png,figures/softcopyright/screenshot_step_reading_puf.png,940.41,2026-05-11T02:10:36,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_recognition_off.png,figures/softcopyright/screenshot_step_recognition_off.png,861.01,2026-05-11T02:10:36,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_scan_cameras.png,figures/softcopyright/screenshot_step_scan_cameras.png,220.38,2026-05-11T02:10:35,scripts/capture_manual_screenshots.py,softcopyright UI captures
screenshot_step_stop_camera.png,figures/softcopyright/screenshot_step_stop_camera.png,230.39,2026-05-11T02:10:38,scripts/capture_manual_screenshots.py,softcopyright UI captures
