fiber,length_group,length_mm,green_prop_mm,n_captures,entropy_bits,intra_distance,green_loss_dB,red_loss_dB
Fiber1,Fiber11cm,110,40,10,5.21218,25.7881,31.6435,5.26339
Fiber2,Fiber11cm,110,40,10,6.32618,17.2522,31.6435,5.17739
Fiber3,Fiber11cm,110,40,10,5.34686,26.6565,32.1011,4.39979
Fiber4,Fiber11cm,110,40,10,5.30902,25.0821,31.2296,4.92916
Fiber5,Fiber11cm,110,40,10,4.83188,17.9541,31.6435,5.09306
Fiber1,Fiber13cm,130,60,10,5.63795,27.407,32.6126,5.15146
Fiber2,Fiber13cm,130,60,10,5.62208,25.3745,32.6126,4.59288
Fiber3,Fiber13cm,130,60,10,4.97156,20.5973,33.1925,4.30325
Fiber4,Fiber13cm,130,60,10,4.7495,13.1114,32.1011,3.71458
Fiber5,Fiber13cm,130,60,10,5.02621,18.4081,32.6126,5.69504
Fiber1,Fiber16cm,160,90,10,5.45598,11.8622,34.6538,6.23249
Fiber2,Fiber16cm,160,90,10,5.69585,12.3896,34.6538,4.47158
Fiber3,Fiber16cm,160,90,10,5.31771,12.5508,34.6538,5.62551
Fiber4,Fiber16cm,160,90,10,5.34979,11.2529,35.6229,6.0206
Fiber5,Fiber16cm,160,90,10,6.25187,14.0032,33.862,5.44068
Fiber1,Fiber8cm,80,10,10,5.37162,22.447,,
Fiber2,Fiber8cm,80,10,10,5.36552,25.931,,
Fiber3,Fiber8cm,80,10,10,6.25946,18.2967,,
Fiber4,Fiber8cm,80,10,10,5.8242,14.4032,,
Fiber5,Fiber8cm,80,10,10,6.04493,21.9509,,
Fiber1,Fiber9cm,90,20,10,6.71428,12.3887,28.0263,5.15146
Fiber2,Fiber9cm,90,20,10,5.76406,18.0802,28.6332,4.59288
Fiber3,Fiber9cm,90,20,10,6.73865,12.8812,28.6332,4.30325
Fiber4,Fiber9cm,90,20,10,6.54232,10.7764,28.4213,3.71458
Fiber5,Fiber9cm,90,20,10,5.15779,11.9151,28.2193,5.69504
