record_type,fiber,enrolled_fiber,test_fiber,test_accuracy_pct,accuracy_pct,cell_type,metric,value
per_fiber_test_accuracy,Fiber1,,,100.0,,,,
per_fiber_test_accuracy,Fiber2,,,98.4375,,,,
per_fiber_test_accuracy,Fiber3,,,96.875,,,,
per_fiber_test_accuracy,Fiber4,,,100.0,,,,
per_fiber_test_accuracy,Fiber5,,,100.0,,,,
per_fiber_test_accuracy,Fiber6,,,100.0,,,,
per_fiber_test_accuracy,Fiber7,,,98.4375,,,,
per_fiber_test_accuracy,Fiber8,,,96.875,,,,
per_fiber_test_accuracy,Fiber9,,,96.875,,,,
per_fiber_test_accuracy,Fiber10,,,92.1875,,,,
per_fiber_test_accuracy,Fiber11,,,96.875,,,,
per_fiber_test_accuracy,Fiber12,,,98.4375,,,,
per_fiber_test_accuracy,Fiber13,,,98.4375,,,,
per_fiber_test_accuracy,Fiber14,,,98.4375,,,,
per_fiber_test_accuracy,Fiber15,,,98.4375,,,,
auth_matrix_cell,,Fiber1,Fiber1,,100.0,diagonal,,
auth_matrix_cell,,Fiber1,Fiber2,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber3,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber4,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber5,,21.88,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber6,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber7,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber8,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber9,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber10,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber12,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber13,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber14,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber1,Fiber15,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber1,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber2,,98.44,diagonal,,
auth_matrix_cell,,Fiber2,Fiber3,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber4,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber5,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber6,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber7,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber8,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber9,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber10,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber11,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber12,,21.88,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber13,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber14,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber2,Fiber15,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber1,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber2,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber3,,96.88,diagonal,,
auth_matrix_cell,,Fiber3,Fiber4,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber5,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber7,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber8,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber9,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber10,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber12,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber13,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber14,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber3,Fiber15,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber1,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber2,,21.88,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber3,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber4,,100.0,diagonal,,
auth_matrix_cell,,Fiber4,Fiber5,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber7,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber8,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber9,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber10,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber11,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber12,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber13,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber14,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber4,Fiber15,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber1,,4.69,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber2,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber3,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber4,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber5,,100.0,diagonal,,
auth_matrix_cell,,Fiber5,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber7,,4.69,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber8,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber9,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber10,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber12,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber13,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber14,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber5,Fiber15,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber1,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber2,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber3,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber4,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber5,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber6,,100.0,diagonal,,
auth_matrix_cell,,Fiber6,Fiber7,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber8,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber9,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber10,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber11,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber12,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber13,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber14,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber6,Fiber15,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber1,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber2,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber3,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber4,,1.56,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber5,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber7,,98.44,diagonal,,
auth_matrix_cell,,Fiber7,Fiber8,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber9,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber10,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber11,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber12,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber13,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber14,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber7,Fiber15,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber1,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber2,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber3,,3.12,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber4,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber5,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber7,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber8,,96.88,diagonal,,
auth_matrix_cell,,Fiber8,Fiber9,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber10,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber12,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber13,,3.12,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber14,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber8,Fiber15,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber1,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber2,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber3,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber4,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber5,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber6,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber7,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber8,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber9,,96.88,diagonal,,
auth_matrix_cell,,Fiber9,Fiber10,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber11,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber12,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber13,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber14,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber9,Fiber15,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber1,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber2,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber3,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber4,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber5,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber6,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber7,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber8,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber9,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber10,,92.19,diagonal,,
auth_matrix_cell,,Fiber10,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber12,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber13,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber14,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber10,Fiber15,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber1,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber2,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber3,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber4,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber5,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber6,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber7,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber8,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber9,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber10,,4.69,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber11,,96.88,diagonal,,
auth_matrix_cell,,Fiber11,Fiber12,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber13,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber14,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber11,Fiber15,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber1,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber2,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber3,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber4,,18.75,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber5,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber6,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber7,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber8,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber9,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber10,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber11,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber12,,98.44,diagonal,,
auth_matrix_cell,,Fiber12,Fiber13,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber14,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber12,Fiber15,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber1,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber2,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber3,,20.31,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber4,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber5,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber6,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber7,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber8,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber9,,25.0,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber10,,26.56,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber11,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber12,,17.19,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber13,,98.44,diagonal,,
auth_matrix_cell,,Fiber13,Fiber14,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber13,Fiber15,,10.94,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber1,,6.25,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber2,,3.12,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber3,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber4,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber5,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber6,,14.06,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber7,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber8,,9.38,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber9,,7.81,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber10,,15.62,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber11,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber12,,12.5,off_diagonal,,
auth_matrix_cell,,Fiber14,Fiber13,,18.75,off_diagonal,,
