record_type,challenge_label,challenge_image,speckle_video,frame_index,video_color_mode,challenge_i,challenge_j,ncc,included_in_figure,reason,display_mode,vmin_percentile_1,vmax_percentile_99_5,gamma,roi_fraction
pairing,A,challenge_inputs/A.png,data/recognition_dataset/GreenAndRed/Fiber1/a.avi,middle,rgb_video,,,,,,,,,,
pairing,B,challenge_inputs/B.png,data/recognition_dataset/GreenAndRed/Fiber1/b.avi,middle,rgb_video,,,,,,,,,,
pairing,C,challenge_inputs/C.png,data/recognition_dataset/GreenAndRed/Fiber1/c.avi,middle,rgb_video,,,,,,,,,,
pairing,1,challenge_inputs/1.png,data/recognition_dataset/GreenAndRed/Fiber1/1.avi,middle,rgb_video,,,,,,,,,,
pairing,2,challenge_inputs/2.png,data/recognition_dataset/GreenAndRed/Fiber1/2.avi,middle,rgb_video,,,,,,,,,,
pairing,3,challenge_inputs/3.png,data/recognition_dataset/GreenAndRed/Fiber1/3.avi,middle,rgb_video,,,,,,,,,,
pairing,boy,challenge_inputs/boy.png,data/recognition_dataset/GreenAndRed/Fiber1/boy.avi,middle,rgb_video,,,,,,,,,,
pairing,girl,challenge_inputs/girl.png,data/recognition_dataset/GreenAndRed/Fiber1/girl.avi,middle,rgb_video,,,,,,,,,,
display_normalization,,,,,,,,,,,rgb_video,0.0,255.0,0.88,0.55
speckle_ncc,,,,,,A,A,1.0,,,,,,,
speckle_ncc,,,,,,A,B,0.9628264875291329,,,,,,,
speckle_ncc,,,,,,A,C,0.9621548801147534,,,,,,,
speckle_ncc,,,,,,A,1,0.9626605757343211,,,,,,,
speckle_ncc,,,,,,A,2,0.9627822383378706,,,,,,,
speckle_ncc,,,,,,A,3,0.9619893792552054,,,,,,,
speckle_ncc,,,,,,A,boy,0.9608943992004328,,,,,,,
speckle_ncc,,,,,,A,girl,0.96123253622219,,,,,,,
speckle_ncc,,,,,,B,A,0.9628264875291329,,,,,,,
speckle_ncc,,,,,,B,B,1.0,,,,,,,
speckle_ncc,,,,,,B,C,0.9720694761760199,,,,,,,
speckle_ncc,,,,,,B,1,0.9626442198005551,,,,,,,
speckle_ncc,,,,,,B,2,0.9608179310997021,,,,,,,
speckle_ncc,,,,,,B,3,0.9619939024596054,,,,,,,
speckle_ncc,,,,,,B,boy,0.9615372181952803,,,,,,,
speckle_ncc,,,,,,B,girl,0.9617075154459969,,,,,,,
speckle_ncc,,,,,,C,A,0.9621548801147534,,,,,,,
speckle_ncc,,,,,,C,B,0.9720694761760199,,,,,,,
speckle_ncc,,,,,,C,C,0.9999999999999998,,,,,,,
speckle_ncc,,,,,,C,1,0.9617333794163304,,,,,,,
speckle_ncc,,,,,,C,2,0.9615288618845019,,,,,,,
speckle_ncc,,,,,,C,3,0.9604165627246299,,,,,,,
speckle_ncc,,,,,,C,boy,0.961790466915931,,,,,,,
speckle_ncc,,,,,,C,girl,0.9613549121944711,,,,,,,
speckle_ncc,,,,,,1,A,0.9626605757343211,,,,,,,
speckle_ncc,,,,,,1,B,0.9626442198005551,,,,,,,
speckle_ncc,,,,,,1,C,0.9617333794163304,,,,,,,
speckle_ncc,,,,,,1,1,0.9999999999999998,,,,,,,
speckle_ncc,,,,,,1,2,0.9610521635871283,,,,,,,
speckle_ncc,,,,,,1,3,0.9639907895781498,,,,,,,
speckle_ncc,,,,,,1,boy,0.9620927750752575,,,,,,,
speckle_ncc,,,,,,1,girl,0.9623446252745929,,,,,,,
speckle_ncc,,,,,,2,A,0.9627822383378706,,,,,,,
speckle_ncc,,,,,,2,B,0.9608179310997021,,,,,,,
speckle_ncc,,,,,,2,C,0.9615288618845019,,,,,,,
speckle_ncc,,,,,,2,1,0.9610521635871283,,,,,,,
speckle_ncc,,,,,,2,2,1.0000000000000024,,,,,,,
speckle_ncc,,,,,,2,3,0.9671933746418079,,,,,,,
speckle_ncc,,,,,,2,boy,0.9622787953607569,,,,,,,
speckle_ncc,,,,,,2,girl,0.9619391631831234,,,,,,,
speckle_ncc,,,,,,3,A,0.9619893792552054,,,,,,,
speckle_ncc,,,,,,3,B,0.9619939024596054,,,,,,,
speckle_ncc,,,,,,3,C,0.9604165627246299,,,,,,,
speckle_ncc,,,,,,3,1,0.9639907895781498,,,,,,,
speckle_ncc,,,,,,3,2,0.9671933746418079,,,,,,,
speckle_ncc,,,,,,3,3,0.9999999999999998,,,,,,,
speckle_ncc,,,,,,3,boy,0.9690514051725246,,,,,,,
speckle_ncc,,,,,,3,girl,0.96410330260301,,,,,,,
speckle_ncc,,,,,,boy,A,0.9608943992004328,,,,,,,
speckle_ncc,,,,,,boy,B,0.9615372181952803,,,,,,,
speckle_ncc,,,,,,boy,C,0.961790466915931,,,,,,,
speckle_ncc,,,,,,boy,1,0.9620927750752575,,,,,,,
speckle_ncc,,,,,,boy,2,0.9622787953607569,,,,,,,
speckle_ncc,,,,,,boy,3,0.9690514051725246,,,,,,,
speckle_ncc,,,,,,boy,boy,1.0000000000000002,,,,,,,
speckle_ncc,,,,,,boy,girl,0.9691587725732013,,,,,,,
speckle_ncc,,,,,,girl,A,0.96123253622219,,,,,,,
speckle_ncc,,,,,,girl,B,0.9617075154459969,,,,,,,
speckle_ncc,,,,,,girl,C,0.9613549121944711,,,,,,,
speckle_ncc,,,,,,girl,1,0.9623446252745929,,,,,,,
speckle_ncc,,,,,,girl,2,0.9619391631831234,,,,,,,
speckle_ncc,,,,,,girl,3,0.96410330260301,,,,,,,
speckle_ncc,,,,,,girl,boy,0.9691587725732013,,,,,,,
speckle_ncc,,,,,,girl,girl,0.9999999999999996,,,,,,,
ncc_panel_decision,,,,,,,,,False,NCC heatmap omitted from main figure; values in CSV/report only.,,,,,
