fiber,consecutive_ncc,vs_first_ncc,n_samples,metric,panel,within_fiber_mean_ncc
Fiber1,0.9970951279004415,0.9733920842409134,13.0,consecutive_ncc,temporal_stability,
Fiber2,0.9914773603280386,0.9210260113080343,13.0,consecutive_ncc,temporal_stability,
Fiber3,0.9879989922046661,0.8624093582232794,13.0,consecutive_ncc,temporal_stability,
Fiber4,0.9852568556865057,0.9132873763640722,13.0,consecutive_ncc,temporal_stability,
Fiber5,0.9957292824983597,0.9523907651503881,13.0,consecutive_ncc,temporal_stability,
Fiber6,0.9568978001674017,0.8858688275019327,13.0,consecutive_ncc,temporal_stability,
Fiber7,0.897725835442543,0.8238268742958704,13.0,consecutive_ncc,temporal_stability,
Fiber8,0.9816920459270477,0.7398603061834971,13.0,consecutive_ncc,temporal_stability,
Fiber9,0.9623391181230545,0.7223298897345861,13.0,consecutive_ncc,temporal_stability,
Fiber10,0.8013250033060709,0.6597770601511002,13.0,consecutive_ncc,temporal_stability,
Fiber11,0.9216324687004089,0.6792933990557989,13.0,consecutive_ncc,temporal_stability,
Fiber12,0.8644357075293859,0.7182901750008265,13.0,consecutive_ncc,temporal_stability,
Fiber13,0.842376634478569,0.6422305951515833,13.0,consecutive_ncc,temporal_stability,
Fiber14,0.8550937076409658,0.7394983172416687,13.0,consecutive_ncc,temporal_stability,
Fiber15,0.8821981896956762,0.7881505042314529,13.0,consecutive_ncc,temporal_stability,
Fiber1,,,,,disturbance,0.627417802810669
Fiber10,,,,,disturbance,0.6761943101882935
Fiber11,,,,,disturbance,0.4125613570213318
Fiber12,,,,,disturbance,0.13697922229766846
Fiber13,,,,,disturbance,0.4219718873500824
Fiber14,,,,,disturbance,0.6822100877761841
Fiber15,,,,,disturbance,0.5613152980804443
Fiber2,,,,,disturbance,0.887111485004425
Fiber3,,,,,disturbance,0.9623459577560425
Fiber4,,,,,disturbance,0.755402684211731
Fiber5,,,,,disturbance,0.6453312635421753
Fiber6,,,,,disturbance,0.6077716946601868
Fiber7,,,,,disturbance,0.7797272801399231
Fiber8,,,,,disturbance,0.3417162001132965
Fiber9,,,,,disturbance,0.6990970373153687
