fiber,consecutive_ncc,vs_first_ncc,n_samples
Fiber1,0.9970951279004415,0.9733920842409134,13
Fiber2,0.9914773603280386,0.9210260113080343,13
Fiber3,0.9879989922046661,0.8624093582232794,13
Fiber4,0.9852568556865057,0.9132873763640722,13
Fiber5,0.9957292824983597,0.9523907651503881,13
Fiber6,0.9568978001674017,0.8858688275019327,13
Fiber7,0.897725835442543,0.8238268742958704,13
Fiber8,0.9816920459270477,0.7398603061834971,13
Fiber9,0.9623391181230545,0.7223298897345861,13
Fiber10,0.8013250033060709,0.6597770601511002,13
Fiber11,0.9216324687004089,0.6792933990557989,13
Fiber12,0.8644357075293859,0.7182901750008265,13
Fiber13,0.842376634478569,0.6422305951515833,13
Fiber14,0.8550937076409658,0.7394983172416687,13
Fiber15,0.8821981896956762,0.7881505042314529,13
