epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.151715,22.1591,2.105692,15.625,0.0001
2,1.631261,46.0227,1.921302,28.125,9.972883382072954e-05
3,0.98069,71.5909,1.046465,65.625,9.891830623632339e-05
4,0.641347,86.9318,0.665696,81.25,9.757729755661011e-05
5,0.362112,92.6136,0.516136,84.375,9.572050015330873e-05
6,0.283812,94.8864,0.261619,90.625,9.336825748732972e-05
7,0.154555,97.1591,0.463209,81.25,9.05463412215599e-05
8,0.14181,97.7273,0.114976,100.0,8.728566886113101e-05
9,0.082638,99.4318,0.066845,100.0,8.362196501476347e-05
10,0.09208,98.2955,0.054618,100.0,7.959536998847741e-05
11,0.110159,97.7273,0.045905,100.0,7.524999999999999e-05
12,0.057989,99.4318,0.03942,100.0,7.06334638322521e-05
13,0.112269,97.1591,0.031973,100.0,6.579634122155988e-05
14,0.055092,100.0,0.07113,93.75,6.079162869547907e-05
15,0.0595,98.2955,0.057736,96.875,5.567415893174884e-05
16,0.06091,98.8636,0.100003,96.875,5.05e-05
17,0.03489,100.0,0.010941,100.0,4.532584106825115e-05
18,0.034029,100.0,0.008497,100.0,4.0208371304520894e-05
19,0.03471,99.4318,0.008351,100.0,3.520365877844009e-05
20,0.026742,100.0,0.010062,100.0,3.036653616774789e-05
