model_fiber,Fiber1,Fiber2,Fiber3,Fiber4,Fiber5,Fiber6,Fiber7,Fiber8,Fiber9,Fiber10,Fiber11,Fiber12,Fiber13,Fiber14,Fiber15
Fiber1,100.0,10.94,10.94,12.5,21.88,12.5,12.5,12.5,12.5,12.5,12.5,10.94,14.06,17.19,9.38
Fiber2,14.06,98.44,14.06,20.31,14.06,9.38,10.94,12.5,10.94,15.62,20.31,21.88,9.38,12.5,9.38
Fiber3,9.38,17.19,96.88,12.5,12.5,14.06,15.62,7.81,15.62,20.31,12.5,15.62,7.81,12.5,17.19
Fiber4,7.81,21.88,15.62,100.0,6.25,14.06,14.06,18.75,17.19,10.94,17.19,6.25,6.25,15.62,18.75
Fiber5,4.69,6.25,10.94,6.25,100.0,14.06,4.69,14.06,14.06,12.5,12.5,7.81,15.62,10.94,7.81
Fiber6,14.06,12.5,9.38,9.38,20.31,100.0,12.5,7.81,10.94,20.31,10.94,10.94,14.06,18.75,14.06
Fiber7,18.75,10.94,7.81,1.56,17.19,14.06,98.44,14.06,14.06,18.75,9.38,15.62,14.06,10.94,12.5
Fiber8,14.06,14.06,3.12,7.81,9.38,14.06,14.06,96.88,12.5,9.38,12.5,12.5,3.12,7.81,9.38
Fiber9,10.94,10.94,12.5,12.5,15.62,20.31,12.5,12.5,96.88,10.94,14.06,12.5,9.38,9.38,12.5
Fiber10,12.5,7.81,10.94,12.5,15.62,7.81,10.94,18.75,10.94,92.19,12.5,7.81,6.25,12.5,12.5
Fiber11,10.94,17.19,12.5,20.31,12.5,9.38,15.62,6.25,12.5,4.69,96.88,12.5,12.5,12.5,14.06
Fiber12,14.06,14.06,15.62,18.75,12.5,12.5,12.5,17.19,15.62,10.94,9.38,98.44,7.81,14.06,7.81
Fiber13,6.25,15.62,20.31,9.38,15.62,17.19,7.81,17.19,25.0,26.56,14.06,17.19,98.44,15.62,10.94
Fiber14,6.25,3.12,15.62,7.81,12.5,14.06,12.5,9.38,7.81,15.62,12.5,12.5,18.75,98.44,15.62
Fiber15,14.06,12.5,14.06,10.94,14.06,12.5,15.62,10.94,12.5,18.75,12.5,9.38,9.38,12.5,98.44
