fiber,status,videos,train_clips,val_clips,test_clips,train_acc,best_val_acc,test_acc
Fiber1,ok,16,176,32,64,100.0,100.0,100.0
Fiber2,ok,16,176,32,64,99.4318,100.0,98.4375
Fiber3,ok,16,176,32,64,100.0,100.0,96.875
Fiber4,ok,16,176,32,64,99.4318,100.0,100.0
Fiber5,ok,16,176,32,64,100.0,100.0,100.0
Fiber6,ok,16,176,32,64,99.4318,100.0,100.0
Fiber7,ok,16,176,32,64,99.4318,100.0,98.4375
Fiber8,ok,16,176,32,64,100.0,100.0,96.875
Fiber9,ok,16,176,32,64,98.8636,100.0,96.875
Fiber10,ok,16,176,32,64,97.1591,100.0,92.1875
Fiber11,ok,16,176,32,64,100.0,100.0,96.875
Fiber12,ok,16,176,32,64,99.4318,100.0,98.4375
Fiber13,ok,16,176,32,64,98.2955,100.0,98.4375
Fiber14,ok,16,176,32,64,98.2955,100.0,98.4375
Fiber15,ok,16,176,32,64,99.4318,100.0,98.4375
